stars,name,text,date,city,longitude,latitude,categories
5,The King's Kitchen,"In town for a conference and checked Yelp for great local spots to eat. This place was recommended by the hotel staff and Yelp reviews only reinforced their recommendations. 

Atmosphere was great. Packed, but got seated quickly. Service was very friendly and suggested a couple specials. I had the pork chop dinner....it was incredible. The chop was so juicy. The polenta was great, and the glaze sealed the deal. Top 3 best meals of all time!! Im serious. 

The $9 house salad was disappointing (bland, no salt n pepper or flavor) with a ranch dressing that didnt come close to the flavor of ranch, more like a creamy herb I couldnt identify.  But I tell you, the pork chop meal completely made up for it. 

My colleagues got the gumbo and said it was really good, as well as the fried chicken. I very well may go there again tomorrow because it was that good!!",2014-10-16,Charlotte,-80.844322,35.227757,"['American (Traditional)', 'Restaurants', 'Southern', 'Bakeries', 'Food']"
3,Rose City Kitchen,"Came here for clockwork coffee, which shares the same space, and the people behind the bar were super friendly in educating us about pour over coffee. They were great at telling us how it was and explaining the finer details of the process. 

But it is pretty pricey for what you get and the coffee is good, but not amazing. I personally would not go back.",2015-05-13,Toronto,-79.3973288,43.6486829,"['Restaurants', 'Salad', 'Sandwiches', 'Food', 'Middle Eastern', 'Mediterranean', 'Specialty Food', 'Falafel']"
5,Beyond Donuts & Cafe,"This local donut shop was amazing. Fast, friendly, and the food was great. Come early, or they may run out of the donuts you want! We also tried a breakfast burrito and a pastrami sandwich on croissant, and they were both very good too. The only bad thing is that we will be moving, so we can't come back as any times as we would like!",2015-04-16,Glendale,-112.234057052,33.6541198305,"['Donuts', 'Food', 'Cafes', 'Sandwiches', 'Restaurants']"
3,Bocci,"Excellent service et très bonne nourriture pour ce repas du midi. Boulette de poulet dans une sauce tomate fort goûteuse avec piments, champignons et patates rôties. Très goûteux et raisonnable comme portion. Table d'hôte du midi soupe et dessert incluant le café très bon rapport qualité, prix.",2016-03-18,Lasalle,-73.6318465,45.4291012,"['Restaurants', 'Pizza', 'Italian', 'Cafes']"
5,Gangnam Asian BBQ Dining,My first time  here try their happy hour menu. Awesome! Great food! No regret! Huge portion. Highy recommended. Friendly employees. Love the ambiance. Excellent!,2016-08-12,Las Vegas,-115.151261,36.108898,"['Korean', 'Japanese', 'Restaurants', 'Tapas/Small Plates', 'Asian Fusion', 'Barbeque']"
5,Sakana,"My place used to be (maybe still is) Jjanga; however, Sakana is where I'll be doing my AYCE sushi in vegas for the near future.

Easily one of the best sushi places on town with a good atmosphere and good service.

Best things to eat/ recommendations:
1. Sashimi salad.  This thing was amazing.  A nice pile of salmon, yellowtail, and albacore with sweet cucumber and shrimp. 

2.  Be happy roll: surprise crunch inside a savory tuna, salmon, avocado roll.

3.  The shit.  This appetizer acts like as stuffed jalapeño but without the super spicy kick.

4. afforgatto!",2016-09-11,Las Vegas,-115.138506234,36.1172566639,"['Sushi Bars', 'Japanese', 'Restaurants']"
2,Gia Lai,"Like many other Yelpers, I stopped by with my Mom and sister for a late lunch and walked into a entirely empty restaurant. That always puts me on high alert since it's usually not a good sign. 

I ordered the beef pho, my sister got the chicken pho and my mom got the glass noodle chicken soup. We also tried the spring rolls and the crab rangoon. The spring rolls were just okay, but the crab rangoon I found to be super-greasy. And I've ordered this dish from some pretty seedy take-out places. It's never tasted that strange. My mom's soup came out with shrimp and some weird pork in it and had to be sent back. When dining with two other people, all eating soup, well... that's just unfortunate since cold soup isn't appetizing and eating while you're hungry mother waits isn't fun either.  My pho was just okay. My favorite pho spots in CLE blow what they served me out of the water, but it was edible. 

The server was very apologetic, but overall I just didn't find the value there for the quality of food you actually get. 

I will say they serve up some damn good, fresh limeade and sparkling limeade!",2014-11-24,Lyndhurst,-81.500377126,41.5031356085,"['Restaurants', 'Vietnamese', 'Asian Fusion']"
5,Garfield's Restaurant,Food and ambiance are always great. I had a beautiful bridal shower here too. Can't beat the bottomless drink brunch!!,2013-11-10,Las Vegas,-115.2682033,36.2074847,"['American (New)', 'Restaurants']"
2,Bink's Midtown,"The food was good. The apple and arugula salad I ordered was delicious and the spare ribs nice and crispy. The dessert however, was a big let down. I found this restaurant from an article online about their push pop dessert being one of the best desserts in Phoenix. However, it was flavorless and hard to eat.  We also ordered the bread pudding which was hard and too heavy. It ruined the good taste we had after eating the late lunch, making my husband feel sick. If you go, pass on dessert. It isn't worth it!",2015-02-27,Phoenix,-112.031467529,33.4877814299,"['Restaurants', 'American (New)']"
5,Tacos El Gordo,Love this place!! You can never go wrong here!!! Order the Mulas with flower tortillas and Al Pastor.,2013-08-25,Las Vegas,-115.164766838,36.1315942123,"['Mexican', 'Restaurants']"
2,Sammy's Woodfired Pizza And Grill,"No idea how the food here is. The apathetic hostess informed us that they were out of pizza, before we sat down, so we passed. It says ""Pizza"" in their name, and they ran out.  Why would I risk eating food at a place that doesn't even care enough to have their marquee items available? I've been around the food industry for a while, and this sort of thing tells me a lot about their attitudes. I would never eat at a place that runs out of their signature dish on a weekday afternoon. My question is: has the manager be fired yet?",2015-03-19,Las Vegas,-115.135585152,36.0804736858,"['Restaurants', 'Pizza']"
1,Spicy Dragon,"Blech! three of us bought the general tao, chicken wings, mixed vegetable cantonese chow mein and it was all so bad; so disappointingly gross. The general tao chicken was still moving on my plate. One chunk grabbed my wrist and was like... ""kill meee pleaaaase."" so I slammed it into a to-go container so my cat could eat it later.  It didn't feel like I was chewing on chicken at all; honestly. The food looked very attractive but it was soo disturbing.  I gagged 4-6 times in front of my own grandmother.  I felt like I was on Fear Factor doing the 2nd challenge!  The worst part is that becuz there are so few Chinese food places in Pickering, people are tricked into thinking that spicy dragon is the best.  It breaks my heart.  The people next to us were like, ""this food looks amazing but there must be something wrong with MY taste buds cuz I taste chipmunk.""  I wanted to flip the table and say, NO! you're damn taste buds are fine!!",2013-05-10,Pickering,-79.088718,43.838487,"['Restaurants', 'American (New)', 'Chinese', 'Indian']"
5,Rock Bottom,I had the Rock Bottom Ale chicken tonight and it was a very large portion and delicious. Our server Rebecca tonight was exceptional. I will definitely be back!,2016-10-14,Homestead,-79.9152619,40.4094353,"['American (Traditional)', 'Restaurants', 'Food', 'Breweries']"
5,Le Tequila Bar,"I loved their home fries and their spicy dip, great with a white draft!!! Also great service.",2015-03-06,Saint Laurent,-73.6826699,45.5141336,"['Beer', 'Wine & Spirits', 'Mexican', 'Restaurants', 'Pubs', 'Bars', 'Nightlife', 'Food']"
3,BarBÙ restaurant,"2ème arrêt au Barbù et nous avons vécu une petite déception! Les entrées étaient plutôt réussies: le duo de crab cake était savoureux et goûtait vraiment le crabe (un critère rarement respecté au resto!), alors que le chèvre chaud était goûteux mais était beaucoup trop sucré à mon avis (pomme cuite + BEAUCOUP de miel + caramel balsamique = trop!). C'est davantage au plat principal que notre expérience nous a déçus. Le duo de tartare (saumon et boeuf) manquait de saveur. Le tartare de boeuf n'était pas relevé, le tartare de saumon était insipide. La salade d'accompagnement baignait encore une fois dans sa vinaigrette, ce qui la rend impossible à manger et les frites sont très ordinaires (ne goûtent que le gras, texture sèche). Pour sa part, le ravioli de cerf aux champignons et à l'huile de truffe était beaucoup trop concentré en saveur. J'essayais d'enlever la sauce de mes pâtes avant de prendre une bouchée, ce n'est pas peu dire. Point fort de la soirée? Le long island iced tea: cocktail parfaitement bien exécuté! Goût de lime bien présent, goût punché, dangereusement bon! On y retourne pour la super terrasse et l'ambiance, et pour essayer leurs plats de style bistro!",2015-07-19,Boucherville,-73.4497378,45.5688975,"['Canadian (New)', 'Restaurants', 'Food']"
5,Mad House Coffee,"They have so many fun flavors and the drive thru is always a plus. Plus they have 32 oz drinks! And although it sounds silly, I love their ice. :)",2014-01-07,Las Vegas,-115.1189137,36.0280675,"['Bagels', 'Coffee & Tea', 'Bakeries', 'Breakfast & Brunch', 'Juice Bars & Smoothies', 'Restaurants', 'Food']"
4,LAMP Pizzeria,"Great food and a wonderful place for Pizza, fantastic salads, wine, beer.... the best pizza in Scottsdale by far.  Had to give it 4 stars because we went with a group and the waiter didn't tell us the tip was included so they walked away with a 44% tip... we should have known to look for this, however the Waiter knew as they had to add it on and should have said the tip is included.... 
The kicker and the Gem are our favorites and the Milkshakes are awesome (they even have adult milkshakes!).... 
I am hopeful they fix the tipping issue as it is customary to tell the party that you have tacked on the tip!",2012-06-03,Scottsdale,-111.888462,33.700033,"['Pizza', 'Restaurants']"
2,CUT,"In a word disappointed. We both had very unremarkable steaks. We had to send back a $200.00 bottle of wine, brown and funky. Worst thing was they knew it and we're hoping that we would not notice?
All the side dishes were flawed, burned mushrooms and foul tasting long beans. The only really good dish was my crab appetizer pictured. There are way better restaurants, even in the Palazzo/Venetian mega plex than Cut. Skip it.",2015-07-15,Las Vegas,-115.168335,36.123454,"['Bars', 'Lounges', 'Restaurants', 'Nightlife', 'Steakhouses']"
5,True Food Kitchen,"If you're looking for ""clean"" & fresh food, you should check this place out. This visit was my first time at True Food Kitchen. TFK is on a whole different playing field when it comes to dining out.

I had the sesame noodle dish, don't expect it to be like panda express' chow mein. The noodle dish was not greasy and I didn't feel guilty/ heavy after eating it. 

The BF ordered the turkey sandwich with 1/2 & 1/2 of the offered sides, sweet potato & kale salad. I had a taste of each of the three items and they were all delicious. Next time, I'm ordering something from the sandwich column.

We also got their flour-less chocolate cake togo & ate it for breakfast the next morning w/our coffee. Yum.

I wish they had more options for fresh squeezed juices, but you'll see us back again at True Food's!

Hopefully they open one in San Francisco-CA or better yet, San Jose-CA.",2013-06-25,Scottsdale,-111.92449748,33.6242634124,"['Salad', 'Restaurants', 'Vegan', 'American (New)', 'Pizza', 'Vegetarian']"
3,Momofuku Noodle Bar,"My friend and I went to Momofuku for dinner during their first opening weekend. Thank goodness we arrived 20min before opening since there was already a line up when we got there. We managed to get a seat right at the windows which was a little awkward considering the fact that people outside can watch you eat.

 I read a number of reviews and opt to go for the Momofuku ramen, the rice cakes, the pork buns, and the Slushie. I thought the ramen was alright but nothing to rave about. I did like the pork belly that was used in it. The rice cakes were great! They were chewy and had the right about of hotness to it (compare to the ones you would get at Korean places where it was just too hot!). The best part was the pork buns. The pork belly was so moist and tender and the bun was just so soft. I would definitely go back there for them. 

The Slushie was interesting. It was both hot/sour and really hits you when you first take a sip of it. Really not for those who don't like hot/sour tastes.
 
Overwall, I thought the Noodle Bar was good even though the ramen wasn't that impressive. But the prok buns did win me over and I wouldn't mind going back there to try the others. Just go to it with an open mind and not over hype it in your head and I think you would enjoy it.",2012-10-05,Toronto,-79.386275,43.649678,"['Korean', 'Ramen', 'Restaurants', 'Chinese', 'American (New)', 'Soup', 'Asian Fusion', 'Japanese']"
2,Joe Badali's Ristorante Italiano & Bar,"Wasnt a fan , slow, unenthusiastic service , Kind of a morbid and lack luster experience. Food came out fast but was good nothing amazing, over priced for what you get . I won't be returning.",2016-04-24,Toronto,-79.3843036,43.6452817,"['Restaurants', 'Gluten-Free', 'Italian']"
4,Magal BBQ,"Friendly staff, delicious food, great environment. The owner walks around and greets customers at different table to make sure everything is okay. They have great quality of meat. All BBQ meats are super tender. I'll definitely choose this restaurant rather than ""all you can eat BBQ"".",2016-06-19,Las Vegas,-115.196824031,36.1267040432,"['Barbeque', 'Korean', 'Restaurants']"
5,Tacos El Nevado,"Yoooooo. Legit tacos. Effing delicious and worth the chance of becoming a victim of a crime in the area. But don't worry, the area seems to be on the rise as hipsters from Plaza Midwood extend their reach. Maybe? Maybe not?

But the tacos though and the sauces they have, *drools*.",2016-07-15,Charlotte,-80.763531,35.2127173,"['Restaurants', 'Mexican']"
4,KJ Kitchen,"Whenever I'm home in Vegas, my family always gets together at KJ Kitchen. The fare can get pretty heavy/rich so keep that in mind. 

The service is always attentive, although the etiquette can be a bit abrupt at times. 

We always order something along the lines of the following: 

-Seafood soup or hot and sour soup
-Tofu with Chinese broccoli
-Salt-pepper pork chop or salt-pepper squid (this is one of my favorite dishes in the entire world, and this is my #1 place to get it). Why? Fried to perfection, thin batter, seasoned perfectly, and best of all - they include the leggies (and I love the leggies). 
-XO string beans
-House chicken 
-Steamed fish (seasonal)

They also offer a bunch of great lunch specials. The restaurant is always busy in the evenings, so be prepared especially if coming with a larger party.",2011-11-27,Las Vegas,-115.2230979,36.1258098,"['Restaurants', 'Chinese']"
3,Tony Roma's,"$11.99 Steak and Lobster!

That's what got us in here when we were checking out Fremont St. just to see what it was like.

The steak was a 10oz sirloin that was medium well not medium rare, and the lobster was the tail from a lobster that was probably under 1lb. Definitely frozen veggies on the place too. Like you had when you were a kid.

The place was filled with people that were partying and gambling earlier in the night since the special started at 9pm.

Service was super prompt and efficient. Not sure I'll ever be back here since Fremont St. is only cool to check out once, but it wasn't as bad as I expected.",2010-01-02,Las Vegas,-115.143035352,36.1710444967,"['Barbeque', 'Seafood', 'American (Traditional)', 'Restaurants', 'Steakhouses']"
5,Sakanaya Restaurant,Fantastic! My favorite Japanese restaurant in Urbana-Champaign.,2014-03-09,Champaign,-88.233218,40.110113,"['Sushi Bars', 'Restaurants', 'Japanese']"
4,Juan's Flaming Fajitas & Cantina,"Not only good, but friendly!  As in, as I walked in on a rainy night, 4 people I know came over to say hi.  So that's where you've all been!  Really, really good fajitas.  Really, really good margaritas.  I'm coming back!",2013-09-13,Las Vegas,-115.302336439,36.1003444651,"['Restaurants', 'Mexican', 'Bars', 'Nightlife']"
3,Original Pancake House,"An ok place to have breakfast.  I was not entirely impressed with the pancakes and breakfast items.  I would say very close to Ihop and such.  If I were to choose a breakfast place in Vegas if this is a drive for you, I would skip it and go to a closer breakfast place.  Nothing really would make me want to revisit the place.",2014-05-02,Las Vegas,-115.296490917,36.1135009105,"['Restaurants', 'Breakfast & Brunch']"
4,Nook Kitchen,"I liked that when I asked for Iced Tea I received real iced tea and not a strange funky flavor one like many places give you. This place recently opened and our server was very attentive and took the time to explain the menu to us. He strongly favored the halibut tacos and said they were his single favorite thing on the menu so I ordered them. 

I need to note we were here for lunch so this is only a lunch review based on just one visit.

I soon received them and they were I think the most figure friendly meal I ever had out. Aprox. three oz. of halibut between two lettuce leaves (instead of tortillas) , pickled onion , Mexi style tomatoes , avocado , radish,  some crunchy greens and a very mild sauce. This plate was a bit on the mild side for my taste but maybe the intention of the dish was to taste the fish and not to over power it. This plate came with a side of black beans that were seasoned and had some flavors going on. This seemed like a very healthy meal to have out. I also liked that they used halibut and not something like muddy catfish or tilapia.

My husband tried the Charcuterie. It was sort of like an around the world kind of plate. It had five kinds of meat , a Chinese Sausage, a Hungarian Sausage, Italian Meats, Fig Jam, Toast, whole grain mustard, pickles, olives and a wedge of Brie Cheese.

I noticed an interesting Connecticut Style Steamed burger on the menu that you just don't find too often that might have been fun to try. Someone seated next to us got one and I thought it looked good. 

3.5 stars Rounded up for above average service.",2013-10-20,Phoenix,-112.002978404,33.4948896858,"['Italian', 'American (New)', 'Restaurants', 'Pizza']"
2,Cafe California Restaurant,"Went to this place for Summerlicious. I hadn't been there in 10 years or more. All 3 of us in our party were disappointed with our food. I ordered the Lobster Mac & Cheese for the appetizer and it had 2 tiny little pieces of lobster in it. My friend ordered the calamari and it was mushy. He asked for crispy calamari and clearly his original order was just refried. It was awful. The main course both friends ordered the duck breast which was very tough, my lamb was not that tender either. The potatoes were dry and and the vegetables hard and undercooked. There are other restaurants in the area more deserving of my money. I will definitely not be going back.",2016-07-17,Toronto,-79.3808122,43.6647891,"['Restaurants', 'American (Traditional)', 'Caterers', 'Event Planning & Services', 'Mediterranean']"
5,Sakana,I love this place!! I drive 30 minutes to get here. Definitely the best Ayce in town. Great ambiance. I also think this place might be Japanese owned. Open late is an added bonus.,2016-08-24,Las Vegas,-115.138506234,36.1172566639,"['Sushi Bars', 'Japanese', 'Restaurants']"
3,Ciao Wine Bar,"I came here with high hopes for the Summerlicious menu. We started with the orecchiette though I should have ordered salad. It was a very generous portion for an appetizer and, along with the bread, filled us up quite substantially before we got to the ravioli. The ravioli was hearty, but also a bit heavy. The sauce and cheese filling made for a really filling meal. By the time we got dessert, I was stuffed and could barely finish it. The espresso tart was very rich, though it lacked a particular delicacy. 

The restaurant was quite full when we arrived and they initially seated us on the corner near the stairs, which was not at all a pleasant spot, but before we got settled in, the waiter found us a better table. I really enjoyed the ambiance -- enough lighting to see the food but not too bright. The food was served gradually, allowing us ample time to talk and catch up. The one catch was probably that splitting the bill at the end of the meal was weird, as the waitress rounded up from half of the total, which isn't good practice.

Overall I would say that the ambiance outdid the food. I was expecting something a little more delicate and less like what I can make for myself at home. It was worth a try though as I'd gotten a really good impression from the website and other reviews. I would probably not return unless something on the regular menu caught my eye.",2014-07-18,Toronto,-79.3936453,43.6704754,"['Wine Bars', 'Bars', 'Nightlife', 'Restaurants', 'Italian']"
5,New York Flavor,Tried this place cause it was highly rated on yelp. It did not disappoint. I had the Basil Marscapone burger. My son had the special Deniro Burger. Mine was tasty but not a strong taste. I thought it could use a little more flavor. The Deniro burger was absolutely delicious. Very flavorful. The fries were great. I also tried the potato salad and that was meh. But overall I want to go back and try more items. I will definitely try the Deniro again.,2015-03-17,Surprise,-112.387167,33.63924,"['Delis', 'Burgers', 'Restaurants', 'Sandwiches', 'Breakfast & Brunch']"
5,Snoh Ice Shavery,"After a friend of mine went there that morning and said it was good, I had to go try it for myself.  All four of us had different flavors and toppings, we were all very impress with it.  The place is hip and the servers very friendly.  I'm ready to go back for more, wish they were closer to where I live.   Def will be going back soon.",2013-05-06,Phoenix,-112.0609579,33.5095292,"['Coffee & Tea', 'Chinese', 'American (Traditional)', 'Bubble Tea', 'Restaurants', 'Food', 'Desserts', 'Shaved Ice', 'Ice Cream & Frozen Yogurt']"
5,Crema Cafe,"Delicious, local food. My husband and I went on a Sunday morning. For brunch, expect a crowd (especially from 11am and on) so be patient or get there early. You order at the counter and then you'll need to wait for a table to open up if it's crowded - but the food is worth the wait!",2014-05-11,Madison,-89.3240091,43.0785876,"['Restaurants', 'Breakfast & Brunch', 'Food', 'Coffee & Tea', 'Cafes', 'Vegan', 'Sandwiches']"
4,Paz Cantina,"Was part of a private event here last week, and it was great! It took a little while to get the event area set up, and it seemed as though they were a bit disorganized, but once everything was settled this was a great place. $3 margaritas were good and cheap, and they set up a taco bar for us with rice and beans, which was very delicious. There was also a live band playing and the whole place has a very chill vibe, which is nice compared to some restaurant/bars in Tempe and Scottsdale. I would definitely go back to try their normal menu.",2015-04-24,Phoenix,-112.068989798,33.4591696019,"['Mexican', 'Restaurants']"
5,Deli Sokolow,This place is all Montreal! I simply love it here! If you want a good inexpensive meal. A personal experience ! Come on down to Deli Sokolow! On Notre Dame and saint marguerite. Five Min from Metro St Henri.,2015-07-20,Montréal,-73.5863031,45.4751735,"['Ice Cream & Frozen Yogurt', 'Delis', 'Food', 'Restaurants']"
5,Salted Malted Bakery & Creamery,The bakery has some amazing cookies and the dole whips are so good. I tried poutine for the first time there and the owner really knows how to make it well. Love this place.,2015-11-17,North Las Vegas,-115.205750417,36.2798653434,"['Ice Cream & Frozen Yogurt', 'Cafes', 'Restaurants', 'Donuts', 'Breakfast & Brunch', 'Poutineries', 'Sandwiches', 'Coffee & Tea', 'Bakeries', 'Food']"
2,Copacabana Brazilian Steakhouse,"Pros:
The food was fantastic and the gentlemen walking around with the various steaks and meats were attentive. The dancers were energetic and a ton of fun to watch. A clean, aesthetically pleasing restaurant to dine in. 

Cons:
We saw our waitress a total of 3 times in the 2 hours that we dined there. Once to take our original drink orders, once more to refill our drinks after we bothered another waitress when we were thirsty, and last when we were paying our bill with a different server (perhaps a floor manager?) to ""thank"" us. I don't know about other diners but my husband and I need more than one or two glasses of water to tide us over with that rich of a meal. We try our best to be easy guests but it was a little annoying to sit and watch other tables be tended to all night (other diners seeing their servers 5-9 times in their dining experience) with us sitting there never seeing our server again. I don't know if it was her fault or the restaurant's for stretching her too thin but it was incredibly frustrating. 

For $50 a person (making a two person bill easily $150 with tax and tip), the service was ridiculous. I can go to a bar and spend less than $20 with my husband and get better service and feel more welcome than we did here.",2016-04-18,Toronto,-79.3878309801,43.6483440823,"['Bars', 'Restaurants', 'Nightlife', 'Brazilian', 'Barbeque', 'Steakhouses']"
5,Pearl,"We actually go for here for dinner at least a couple of times when we are in vegas with family.   Service here is also the best, very attentive staff and the food in my opinion is very good and very generous portions.   I leave the ordering to family and so far every dish that we have ordered is delicious.",2013-03-15,Las Vegas,-115.1693962,36.1033743,"['Bars', 'Chinese', 'Restaurants', 'Nightlife']"
5,South Side BBQ Company,"I love this place!!! I know I have read criticisms about portions and cost but chill out people, it is delicious!!! I went with my fella the other day and we were nervous because there was a huge crowd in there to see a young man and his guitar (i will let that nonsense slide) but we were served quickly and everything was insanely good!

I ordered the redneck club which has both pulled pork and brisket on it, along with some slaw...So, basically all of my dreams came true. And then I ordered the ghost pepper mac n' cheese as well. It is super spice and even more so when you add the inferno that is the ghost pepper bbq sauce. I loved it! My boyfriend ordered the ribs and the pepper jack mac n' cheese and was really happy with both. The ribs are intimidatingly large and a half rack was more than enough! The sauces are also all so delicious. I love the Carolina style sauce! It is my favorite! I always forget that it is tucked down 17th street but I think I will make more of an effort to fit into our routine of Gaucho and Carson Street Deli.",2016-12-29,Pittsburgh,-79.9817741,40.4293613,"['Restaurants', 'Food', 'Food Trucks', 'Barbeque']"
3,Ichiza,The food is only soso in comparison to some of the other restaurants I've tried around the same area. It's not too expensive which is a plus though.,2016-07-17,Las Vegas,-115.197904,36.125908,"['Japanese', 'Restaurants']"
