V1,V2,V3
yell,1.793083288,-0.389492615
random,0.880066203,-1.491230535
shit,1.207836974,-0.159546265
hate,0.692426046,-3.427061222
insist,1.427878274,-2.494928818
promise,0.940079812,-3.396787446
force,0.757533494,0.25599199
suck,1.654278994,-0.694607707
peel,0.525033147,-2.556336857
bus,1.064818671,-1.073465193
potential,0.828382443,-4.741186528
starve,0.801497295,-2.465553544
host,0.925078132,-3.850814641
majority,0.740748063,-3.104441812
public,0.543502545,0.052364575
succeed,0.708909689,-0.295308169
advertise,1.354161623,-1.272944227
sad,1.369576376,-2.487184319
disappear,1.074469105,-1.164431725
oily,0.572301828,0.740039723
attention,0.678922051,-0.683830356
mediocre,2.079072537,-4.592153754
dump,1.311992602,-0.931294332
los,0.574322361,-2.305045107
daughters,1.012212639,0.758619684
complete,0.613335936,-0.170715697
mushy,1.089962771,-3.556962262
wet,0.955874491,-0.859455821
flavorless,1.995465089,-3.944746486
can,0.908999314,0.003527366
explain,0.696783188,-3.313283959
fridge,0.915065532,-1.192788339
fuck,0.922640078,-1.964520758
suppose,1.436761055,-0.150182181
longer,0.948070369,-1.373224001
foot,0.673920774,-1.346478119
complain,0.70098231,-1.436485298
not recommend,2.321437329,0.038082673
response,1.677496264,-4.358490215
inappropriate,0.538171749,-5.261576911
lose,1.207988395,-2.380915923
fault,0.901583211,0.410464584
refund,2.093903249,-1.96980127
refuse,1.909795261,-3.252248657
kill,0.598360271,-4.946397936
heck,0.801603847,-2.463879403
dumb,0.863657587,-1.651945417
information,0.842080279,-3.078586889
lame,0.811431238,-0.3282992
attempt,1.473672041,-0.135213107
gentlemen,0.590022537,-2.362526474
final,0.873690468,-0.12309304
realize,0.720486208,-1.433311534
delivery,0.683774511,-1.452995802
shame,1.36914322,-0.052036668
clearly,1.151878144,-0.476691794
never go,2.127959529,-1.319465631
blonde,0.672889404,-1.651050488
expire,0.601681056,-2.182850342
hotels,0.737519193,-0.670049159
sleep,0.827035541,-3.290116796
establishment,0.847041156,-1.33565795
tax,0.523379862,-1.090574074
reserve,0.571407099,-0.662912685
save,0.820553309,-1.212757002
discount,0.670674767,-2.29063318
desire,0.703861461,-2.020305043
proceed,1.86589174,0.446629554
stare,0.984224626,-1.904839473
um,0.519331025,-5.074488342
somebody,0.557496403,-4.159867516
sign,0.560455075,0.08048
receipt,1.495774022,-2.264415875
worse,2.260018305,-0.220094825
uncomfortable,1.626103168,-0.842612251
reflect,0.596323271,-3.73048665
btw,0.509220524,-1.678590536
msg,0.936407885,-1.540572611
wonton,0.538027911,0.344988211
stale,1.807133842,-1.275769914
not return,2.293143613,-0.523600245
horrendous,1.357893668,-2.717236762
forth,0.657018337,-1.839057668
delay,0.937714823,-1.276306497
not get,0.910702173,0.842670625
inform,1.528094686,0.040942148
ticket,1.021694849,0.796199808
screw,1.553549383,-1.744976569
wir,0.786522383,-0.530670242
tisch,0.603518924,-0.850557576
nach,0.836803473,-1.261311261
nicht,0.695393732,-0.639422663
hatten,0.607465186,-0.050086371
als,0.50470105,-0.04511241
not come,2.068487521,0.891063596
unfortunate,0.933894507,-3.756894682
company,0.511572911,-3.649278312
elsewhere,1.365674489,-2.363182859
disaster,1.473705615,-1.152384778
sight,0.722682508,-1.486300527
tasteless,2.33928822,0.854888334
never come,2.504405476,-0.118874438
doors,0.509168786,-1.801799749
container,0.959847492,-2.755804215
spill,1.154139954,-1.739787772
perhaps,0.603621403,-2.900616871
luck,1.113767477,-2.458291045
deliver,0.682878166,-1.319251534
shift,1.013127777,-1.161015174
paper,0.668439116,-2.0542034
napkins,1.409280272,-1.571596389
utensils,0.818353628,-1.270617406
button,0.829757826,-5.268323747
yuck,1.345053206,-3.599086299
drown,0.572756949,0.411324268
thru,0.924085303,-1.911046998
regardless,0.746133152,-0.794021718
edible,1.844202688,0.176917333
runny,1.005364406,-1.172799625
minimal,0.788418863,-1.933114411
rudely,1.306168854,-0.518633031
joke,1.197520385,-0.405351615
dollar,0.530934726,-0.623079056
bother,1.375651497,-2.260505769
embarrass,1.373313947,-0.630707733
chew,1.190599259,-4.293158731
not !,0.96163091,-2.846932789
blah,1.246863831,-3.029676715
politely,0.889676288,-2.128580064
urgency,0.543292723,-3.127717229
apologize,1.890917834,-0.270384949
compensate,0.571329411,-2.020507864
form,0.505515624,-1.190213704
not able,0.816565274,-0.384944201
bug,1.160434651,-0.739208056
assume,1.052503143,1.173646603
dollars,0.902167064,-3.216923302
puke,0.528152445,-4.580516282
scream,1.041999141,-2.103625282
lukewarm,1.568378564,-0.949102592
limp,0.852507804,-0.183199537
inquire,0.623993182,-1.505530779
assure,0.783999429,0.273722839
ugh,1.113290422,-1.559587296
replace,0.755958751,-0.256292438
communication,0.732909616,-2.562530426
sorry,1.511596677,-1.353761465
horribly,1.004556041,0.576647331
debit,1.173475168,0.702333652
throw,1.232542946,-1.408019835
poison,1.48670526,0.777092587
reach,0.766157142,0.360242623
anyways,0.638362776,-2.000720822
remake,1.083533737,-0.141029203
reluctantly,0.523444675,0.060020696
not do,0.883664913,-2.719012421
soggy,1.295702268,-0.460084343
tray,0.614106795,0.36085642
not well,0.624957948,-1.691945447
mgm,0.583184082,-2.365057544
soak,0.555081863,-0.514117071
nearly,0.689715679,-0.765797359
nasty,2.068992079,-0.434540357
nightmare,0.509508468,-1.471692248
extreme,0.519562651,-2.366603075
tough,0.93201912,-2.984840502
teeth,0.527420857,-0.399174881
refer,0.559777615,0.527899237
duty,0.843778297,0.514972138
approach,1.035209645,0.518342739
twenty,0.85417518,0.234378295
attend,0.839982203,-0.918558107
blame,1.455463058,-0.162938643
proper,0.564554789,-2.459201621
pretend,0.631002876,-2.53865021
properly,0.943978109,-0.367948501
not fresh,1.591608313,-0.81717205
subpar,1.265977428,-0.523376089
member,0.870637403,-0.839443681
law,1.097267387,0.147102242
fly,0.905553664,-2.035122164
ownership,0.689065434,-1.752279473
purpose,0.655898198,-1.939856627
gift,0.531069664,-3.165260029
accept,1.203473714,-1.848800687
entire,0.585131434,-1.448627875
excuse,1.783287534,-0.090130293
silverware,1.298082655,-0.724456455
napkin,0.878800082,-0.914662474
automatically,0.534738265,-0.323594985
id,1.364158721,0.010394916
report,0.624761203,0.923609941
not order,1.174351675,-2.979006655
son,0.532360281,0.248174947
ihop,0.963153775,-1.68874503
opposite,0.821347562,-1.759922483
tire,0.591206063,0.219876159
bore,0.815387956,-0.164502142
nuggets,0.791486164,-0.04277679
meh,0.991133646,-1.024969083
crap,1.050180169,-0.956495993
casinos,0.534594214,0.644836895
minimum,1.090941942,-3.603366743
overrate,1.310994931,-0.486177489
jumper,0.519162295,0.310685319
hurry,0.695837048,-1.839826208
not expect,0.562396306,-0.948106014
fee,0.584760878,0.499329668
bucket,0.636232278,0.392158828
toss,0.555153095,-0.398085574
driver,1.26185585,0.959333232
benefit,0.541748729,0.838874086
repeatedly,0.768811773,-1.365979466
weird,0.519011931,0.504029798
grease,1.439556415,-1.126312217
wilt,0.691507741,-0.671603683
restroom,1.142486904,-1.193448155
strange,0.800615042,-2.090916047
med,0.602103812,-2.403742949
hell,0.760265108,-3.181838009
fight,0.736910497,0.122658997
understaffed,1.068876363,0.277265391
third,0.979878349,-0.224008857
not see,0.645990959,-1.240556283
hello,0.862237486,-1.829815874
clothe,0.892649647,-2.274708217
not look,0.806400539,-1.267152073
microwave,1.744109545,-2.624007908
not finish,0.557704795,-0.231672741
nacho,0.585745915,-1.455201065
theater,0.674348349,1.10251458
members,1.05898281,0.201307151
eight,0.548335935,-1.544692374
terribly,1.025763218,0.027744033
not very,1.002435804,-0.718113314
problems,0.681575253,-2.780680197
unable,0.699295972,-3.051853478
explanation,1.158522576,-0.736208934
lie,1.258405199,-1.375824788
lousy,0.971895702,1.11961419
patrons,0.730597224,-0.203626293
drench,0.834771516,-0.034047986
not ever,0.608695833,-0.647436988
reputation,0.789442076,-1.35830735
not cook,1.312417269,0.491275203
health,0.905249047,-1.517676103
never make,0.822703578,-1.313236428
stomach,0.514568754,-1.090855846
coworkers,0.840952487,-2.029801724
swim,0.581541431,-1.739198118
mcdonalds,1.416018096,-0.896134171
exchange,0.660349578,-0.519615467
essentially,0.924304298,0.405406373
slowly,0.611805248,-0.816144236
social,0.632799367,-0.383827879
unfriendly,1.40976446,-2.752714321
generic,0.845759954,-2.190736563
cancel,1.386852938,0.274811456
dime,0.944439544,-1.627198432
undercooked,1.660112619,-0.841619965
nowhere,1.030285733,0.124314129
exact,0.741481764,-1.684380598
child,1.293146973,-0.154875225
repeat,0.933569268,-1.432757917
businesses,0.579233313,0.314749833
rudeness,0.740206389,0.22520653
obvious,0.95624373,-0.726384616
disrespect,1.176932293,-0.732218985
shitty,0.821308647,-1.256007901
warrant,0.568935839,1.010451589
example,0.676171111,-3.19656813
incorrect,1.02127185,1.241066354
website,0.914644585,-0.984250043
straw,1.131873115,0.685107849
styrofoam,0.668393844,0.163743811
temp,0.550862823,-0.225924892
passable,0.898870917,0.363436601
rd,0.631499463,0.472487568
cell,0.664952955,-2.498918967
never !,1.187202809,0.481678764
odd,0.642610608,0.734825933
honor,1.058290593,0.186278795
equal,0.615280557,-2.68018262
didnt,0.920454512,-0.812396148
whoever,0.702895642,0.241492811
mins,1.504504989,0.093087781
action,0.504588598,-0.159068597
eventually,1.299074556,-0.231857478
roach,0.588088646,-0.914120633
online,0.644950274,0.543081003
not serve,0.865279744,-0.158122628
belong,0.534184275,0.356236465
badly,1.020750256,-0.398014346
appropriate,0.528646534,-0.075078523
patronize,0.683083304,-0.683871653
not taste,1.457809109,0.930141754
patience,0.832752407,0.8352571
fu,0.723478831,-0.908894764
code,1.001740786,-0.101635052
earn,0.508143723,-0.865826768
boss,0.982273938,-0.233332351
neither,1.491390748,0.292307384
situation,1.510472886,-1.089545287
fake,1.321995445,0.538513
confirm,1.109727421,1.107575928
corporate,1.166700199,-0.167234747
email,1.055216703,-0.961000425
concern,0.972767937,0.434924986
applebee,0.569270499,-0.712432153
decline,1.40666082,0.198281037
additionally,0.530710166,-1.165738126
comment,0.57004637,-1.143253712
not wait,0.597046098,1.094257156
awkward,0.580063628,0.178571598
encounter,0.829978829,-0.44849512
practice,0.918142046,-1.929081291
apology,2.137964353,0.060982972
solution,0.64323509,-0.756007248
payment,0.790465006,-0.428404545
comp,0.993876526,-0.904844315
reheat,0.9437052,-0.377253336
wasnt,1.067995689,-1.501036934
dishonest,0.641935076,0.692444037
solely,0.576735946,-0.131133594
assist,0.593295491,0.341332548
clerk,0.602904453,0.130570503
women,0.549697981,-0.065866692
chase,0.659581373,-0.364690481
ten,0.97464653,-1.222489733
arrogant,0.507979042,0.176229788
horrific,0.644768927,0.898490776
watery,1.218723063,0.633592379
luke,1.350594879,-0.649183971
not waste,0.992982003,-0.766912821
condition,0.600626118,0.02135846
lazy,1.045799495,1.072530733
computer,0.560252815,-0.525418769
not think,0.621727631,-1.176821073
stink,0.906546982,-0.17913094
cross,0.54692869,1.213525799
cents,0.62458795,-0.749999704
package,0.814925013,-0.166534802
indicate,0.670604912,-0.269347663
texting,0.538778811,0.216646954
hr,0.920884815,0.350149784
downhill,1.502693393,-1.714686897
execution,0.591116144,0.676070179
crappy,1.480894221,-0.829984377
wtf,1.592382346,0.750176694
ripoff,0.549642738,0.676934784
gratuity,1.313857023,-0.483465292
needle,1.341691741,0.199886185
rule,0.938104971,-1.059376812
weak,1.266059345,0.394766716
bare,1.009507782,-0.798575706
knife,0.798576571,-0.992351442
panda,0.942360424,-0.884706651
ur,0.72888875,-1.018871419
wave,0.797050636,-0.987618183
hrs,0.771645535,-0.277784385
horrid,1.072160917,0.232425833
unprofessional,1.86540842,-0.615446137
never receive,0.822905341,0.963889582
not offer,0.821347639,0.070121066
clients,0.698608279,-0.473111611
shoulder,0.538452169,-0.86499752
wear,0.514945918,0.784180748
schnitzel,0.522133089,-0.396818829
beware,0.861788702,0.029452773
cop,0.535405544,-0.013903103
not ask,0.917859656,0.075496728
inconsistent,0.992703105,1.037733168
roughly,0.635232008,0.401097953
racist,0.749126189,0.814762226
not happy,0.869926523,-0.752101194
insult,1.652037246,0.814383994
cockroach,0.629499115,0.331477251
inattentive,0.761271344,0.379947774
downright,0.583879998,-0.822223268
hence,0.536203962,-0.093428454
leftover,0.743633005,-0.391602627
gloves,0.541459895,0.97023729
lamp,0.58049929,1.084132552
clueless,1.184389025,-0.652482694
cleanliness,0.743301147,-0.06042207
not believe,0.890202773,0.485146983
not,0.636128481,0.753908308
inefficient,0.550510082,0.145684463
never see,0.715455903,0.248712985
mcdonald,1.498897844,0.549381778
instant,0.844890365,0.177904091
hunger,0.806098705,0.726556483
address,1.167442336,0.800925834
dann,1.075590568,0.44608183
noch,0.535841833,0.853110055
never,1.356802606,0.601618446
spoil,0.73365804,1.315225084
overhear,0.531742947,0.637844929
croutons,0.568264382,1.178380554
shots,0.608908853,0.12477662
snotty,0.556567798,-0.22863343
containers,0.568480311,0.006699696
apologetic,1.248609795,0.861260338
dude,0.961430287,-0.476868786
overcharge,1.115687808,1.228649012
dass,1.103232754,-0.395654392
wirklich,0.583845857,1.000797364
ja,0.573454573,0.174760686
haben,0.603537484,0.148447632
chuck,0.624366282,-0.706766805
unorganized,0.654532708,0.547489948
upset,1.913832657,0.334532286
grace,0.743822226,-0.451692462
not drink,0.658520176,0.561963087
bitch,0.505109488,1.104367573
gonna,0.539462708,0.650673097
desk,1.559444652,1.283414455
fishy,0.571216942,-0.813160738
beside,0.652387899,1.157046611
power,0.548138769,1.143332453
outrageous,1.045385279,1.313146873
justify,0.920606903,0.35856532
waren,0.801920009,1.277321405
einfach,0.894627561,-2.457049056
hatte,0.597777196,-10.00121231
attack,0.54049997,-11.2105317
redeem,1.259179205,-8.421887662
never ask,0.919615672,-4.911317763
unimpressed,0.573219918,-5.637626917
swear,0.706179917,-8.37863903
not seem,0.685799246,-0.069476864
shut,1.051202966,-3.262637365
not pay,1.012677286,-12.37235644
aria,0.627538973,-4.831896655
cutlery,0.555613075,-4.41951369
arm,0.577985456,-7.770660859
not seat,0.569897226,-2.489384256
organization,0.602661877,-2.35126914
disorganize,0.51710008,-4.99103219
not right,0.832233084,-2.125007566
trash,1.253982449,-4.628763674
frankly,0.632593998,-8.884470721
not give,1.160318497,-5.522174612
atrocious,0.992779637,-6.398385307
never return,2.351640434,-2.9029209
replacement,0.785507139,-6.510988787
piss,1.449783579,-4.690348838
cat,0.611464764,-5.782086652
never recommend,0.736089467,-5.388946713
clue,1.154454999,-8.154508218
wurde,1.235173603,-8.698329295
jedoch,0.58067629,-2.26965244
werden,0.52993347,-1.497972553
cough,0.58175192,0.712272656
lock,0.605803224,-5.314357247
program,0.530404917,-0.859518968
brush,0.640729316,-8.322541349
papa,0.782814885,-2.794892771
hmmm,0.824345683,-4.420534479
caesars,0.748074842,-7.465015973
not use,0.998604541,-3.401992103
wendy,0.672746463,-7.033971707
miserable,1.088703602,-8.318318268
incorrectly,0.858576864,-7.874603557
not say,0.555707411,-3.981105514
demand,1.27557424,-5.968341519
existent,1.017024424,-7.299519419
voucher,1.162708026,-6.380819219
not service,0.572490068,-4.176756126
site,0.557315122,-3.501622286
depress,0.738828394,-7.671813148
useless,0.517152826,-4.683337592
hooters,1.043757535,-0.181904731
respect,0.85043754,-7.576841616
taker,0.64323509,-5.467708968
not allow,0.888016846,-3.868204417
rubber,0.751724751,-0.694230921
soupy,0.502784053,-1.694440853
require,0.667665909,-2.861564702
appal,0.965422602,-6.547727645
voice,0.971468272,0.464884617
shock,1.195911729,-3.687686145
not greet,0.618708731,-3.593134012
garbage,1.603300096,-4.635238189
client,1.003104132,-6.09599768
bye,0.631333887,-7.464536884
rudest,0.529426919,-1.922627303
stupid,1.640899575,-3.047259129
massage,0.51051308,-7.703613913
puck,0.718210531,0.683612442
sie,0.854854401,-5.12754095
mush,0.846075398,-5.35273737
spit,0.894501354,-1.359618474
paella,0.601191594,-3.581262367
patiently,0.539054166,-4.478601818
wanna,0.502796521,-3.840348676
slap,0.687187224,-3.515679643
male,0.87584091,-2.751155362
deny,0.653829185,-9.030545837
patron,0.502126896,-10.44830197
disturb,0.637937571,-4.227178295
liquid,0.851012565,-5.311176886
count,0.586658463,-5.695814092
unhappy,1.09934396,-6.779378359
rag,0.641268413,-6.717422156
alfredo,0.582933639,-6.310750958
grocery,0.720298256,-5.433320352
meanwhile,0.88855439,-5.798260735
equivalent,0.541694338,-3.467034133
separately,0.534878755,-6.593685831
halfway,0.908299584,-2.154863201
plague,0.591293981,-6.723457431
steer,0.748489648,-5.149460301
freezer,0.874595619,-3.08085913
not care,0.744561238,-4.704192426
idiot,0.964038501,-2.653901207
not first,0.945251551,-2.773364349
couldnt,0.608409685,-0.47009117
rubbery,1.199289902,-1.790763018
partially,0.751843135,-3.988143997
snap,0.797082531,-6.02232484
respond,1.403793024,-2.025307033
sloppy,0.837489646,-4.58016665
directly,0.578615608,-0.290523262
not bring,0.735402737,-6.624292244
uninspiring,0.536118458,-2.840597999
supposedly,1.007728365,0.442976438
toilet,1.163087725,-4.979257671
summerlicious,0.541880866,-0.496987557
offend,0.516779149,-1.572838519
headache,0.521725545,-3.616312263
skills,0.697992682,0.286983925
sir,0.842602642,-3.937575688
nichts,0.796497519,-6.840441048
mir,0.824166229,-3.752085156
wurden,0.590899217,-5.940942774
towel,0.869272701,-3.408541921
wake,0.54373091,-1.548396715
channel,0.745052593,-7.977219986
appetizing,1.078435556,-1.598166749
not put,0.64976144,-4.166276884
loudly,0.741994864,-5.471184685
not hot,0.780789163,-3.88819052
toddler,0.62751969,0.555717594
underwhelming,0.982797155,-4.206667964
